No,treat,weight
1,Control,
2,Control,
3,Control,
4,Control,
5,chaff_10,
6,chaff_10,
7,chaff_10,
8,chaff_10,
9,tea_10,
10,tea_10,
11,tea_10,
12,tea_10,
13,tea_30,
14,tea_30,
15,tea_30,
16,tea_30,
