No,treat,weight
1,0P,
2,0P,
3,0P,
4,0P,
9,6P,
10,6P,
11,6P,
12,6P,
17,30P,
18,30P,
19,30P,
20,30P,
25,60P,
26,60P,
27,60P,
28,60P,
33,Ca-P,
34,Ca-P,
35,Ca-P,
36,Ca-P,
41,Fe-P,
42,Fe-P,
43,Fe-P,
44,Fe-P,
49,Al-P,
50,Al-P,
51,Al-P,
52,Al-P,
